Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
ASP.NET. Сборник рецептов (+CD),Агуров Павел Владимирович,BHV:Профессиональное программирование,422,528,20,На складе
Разработка Web-портала в ASP.NET.2.0 и SharePoint 2007 (+CD),Гробов Игорь Дмитриевич,BHV:Профессиональное программирование,502,627,20,На складе
Ассемблер для Windows (+СD),Пирогов Владислав Юрьевич,BHV:Профессиональное программирование,594,742,20,На складе
C# 3.0. Справочник,Албахари Джозеф,BHV:Бестселлеры O`Reilly,678,847,20,Ограничено
Firebird: руководство разраб баз данных,Борри Хелен,BHV:В подлиннике,650,812,20,Ограничено
Самоучитель Silverlight 3,Дронов Владимир Александрович,BHV:Самоучитель,332,415,20,На складе
Windows Driver Foundation: разработка драйверов,"Орвик Пенни, Смит Гай",BHV,820,1025,20,На складе
Microsoft ASP.NET 2.0. Базовый курс. Мастер-класс,Эспозито Дино,Питер,714,893,20,На складе
Exchange Server 2010. Практическое руководство,Весселиус Яап,Эком,845,1056,20,Ограничено
Macromedia Authorware 6.0. Разработка мультимедийных учебных курсов,Гультяев Алексей Константинович,Корона-Принт: ,364,455,20,На складе
Рефакторинг в C# и ASP.NET для профессионалов,Арсеновски Даниэль,Диалектика: ,1830,2287,20,Ограничено
Микрокомпьютерные системы управления. Первое знакомство,Суэмацу Есикадзу,Додека XXI век: ,662,827,20,На складе
Silverlight 2. Технология создания интернет-приложений,Буньон Лоран,ДМК-Пресс: ,667,834,20,На складе
Pocket PC. Руководство разработчика,Крелль Брюс Е.,ДМК-Пресс: ,237,296,20,Ограничено
Visual Basic. Освой на примерах (+CD),Культин Никита Борисович,BHV:На примерах,163,204,20,На складе
Информационное моделирование. Часть 1,,ДМК-Пресс,754,943,20,На складе
Простой Python. Современный стиль программирования,Любанович Билл,Питер:Бестселлеры O`Reilly,1658,2073,20,На складе
Kotlin. Сборник рецептов. Предметный подход,Коузен Кен,ДМК-Пресс,1305,1631,20,На складе
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,1550,1937,20,На складе
Алгоритмы и структуры данных. Учебное пособие,Мясникова Нелли Александровна,Кнорус:Бакалавриат,941,1176,20,На складе
Компьютерная арифметика. Учебное пособие. СПО (+CD),Иорданский Михаил Анатольевич,Лань:Компьютеры и программное обеспечение,1109,1386,20,На складе
Программирование. Практикум. Учебное пособие,Быкадорова Елена Анатольевна,Лань:Компьютеры и программное обеспечение,412,515,20,На складе
Системное программное обеспечение информационных мультимедиасистем. Учебное пособие,"Иванько Александр Федорович, Иванько Михаил Александрович",Лань:Компьютеры и программное обеспечение,722,902,20,На складе
Распределенные системы,"Таненбаум Эндрю, Стин ван Мартен",ДМК-Пресс,2447,3059,20,На складе
Основы алгоритмизации и программирования на PythonОсновы алгоритмизации и программирования на Python,Гуриков Сергей Ростиславович,Форум:Высшее образование: Бакалавриат,3908,4885,20,На складе
Android. Программирование для профессионалов,Филлипс Билл и др.,Питер:Для профессионалов,1806,2257,20,На складе
Алгебра и геометрия с примерами на Python. Учебное пособие,"Борзунов Сергей Викторович, Кургалин Сергей Дмитриевич",Лань:Компьютеры и программное обеспечение,3686,4607,20,На складе
Организация и архитектура ЭВМ. Вычислительные системы. Учебное пособие,Журавлев Антон Евгеньевич,Лань:Компьютеры и программное обеспечение,1230,1538,20,На складе
Корпоративные информационные системы. Администрирование сетевого домена. Учебное пособие,Журавлев Антон Евгеньевич и др.,Лань:Компьютеры и программное обеспечение,1754,2192,20,Ограничено
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Среднее профессиональное образование,2717,3396,20,На складе
Hello World! Программирование для детей и взрослых,"Сэнд Уоррен, Сэнд Картер",ДМК-Пресс,1468,1835,20,На складе
Методология создания информационных систем. Учебное пособие,"Карминский Александр Маркович, Черников Борис Васильевич",ИНФРА-М:Среднее профессиональное образование,2385,2981,20,На складе
"Разработка бизнес-приложений на платформе ""1С: Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М:Среднее профессиональное образование,2426,3033,20,На складе
Время UNIX. A History and a Memoir,Керниган Брайан,Питер:Библиотека программиста,1080,1350,20,На складе
Проектирование информационных систем. Учебное пособие. СПО,Вейцман Владимир Моисеевич,Лань:Компьютеры и программное обеспечение,2321,2901,20,На складе
Создание сайтов на основе WordPress. Учебное пособие. СПО,Сергеев Алексей Николаевич,Лань:Компьютеры и программное обеспечение,914,1142,20,На складе
"Интеграция управления программой и системной инженерии. Методы, инструменты и организационные систем",Мицуфуджи Акио и др.,ДМК-Пресс,2447,3059,20,На складе
Современный JavaScript для нетерпеливых,Хорстман Кэй С.,ДМК-Пресс,1468,1835,20,На складе
Инфокоммуникационные системы. Учебник,"Журавлев Антон Евгеньевич, Макшанов Андрей Владимирович",Лань:Компьютеры и программное обеспечение,3072,3840,20,На складе
Инфокоммуникационные системы. Учебник,Журавлев Антон Евгеньевич и др.,Лань:Компьютеры и программное обеспечение,2978,3723,20,На складе
Программирование на Rust. Официальный гайд,"Клабник Стив, Николс Кэрол",Питер:Для профессионалов,2772,3465,20,На складе
Проектирование информационных систем. Учебное пособие,Коваленко Владимир Васильевич,Форум:Высшее образование: Бакалавриат,2738,3422,20,На складе
Профессиональный TypeScript. Разработка масштабируемых JavaScript-приложений,Черный Борис,Питер:Бестселлеры O`Reilly,1379,1724,20,На складе
"Подробное руководство по DAX: бизнес-аналитика с Microsoft Power Bl, SQL Server Analysis Services","Феррари Альберто, Руссо Марко",ДМК-Пресс,3263,4079,20,На складе
Хаос-инжиниринг,"Розенталь Кейси, Джонс Нора",ДМК-Пресс,1632,2040,20,На складе
Цифровая обработка сигналов на системном уровне с использованием LabVIEW,"Кехтарнаваз Насер, Ким Намджин",ДМК-Пресс,1468,1835,20,На складе
"Дискретная оптимизация. Модели, методы, алгоритмы решения прикладных задач",Струченков Валерий Иванович,Солон-пресс:Библиотека профессионала,608,760,20,На складе
Базы данных. Учебник,Кумскова Ирина Александровна,Кнорус:Среднее профессиональное образование,1425,1781,20,На складе
Спортивное программирование,"Халим Стивен, Халим Феникс",ДМК-Пресс,2284,2855,20,На складе
Django 3.0. Практика создания веб-сайтов на Python,Дронов Владимир Александрович,BHV:Профессиональное программирование,1174,1467,20,На складе
Python и наука о данных для чайников,"Мюллер Джон Пол, Массарон Лука",Диалектика,1660,2075,20,На складе
Криптография - наука о тайнописи. Учебное пособие,Фомичев Владимир Михайлович,Прометей,532,665,20,На складе
Искусство тестирования программ,Сандлер Кори и др.,Диалектика,2765,3456,20,На складе
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие,"Васильев Николай Павлович, Заяц Анатолий Моисеевич",Лань:Учебники для вузов. Специальная литература,2248,2810,20,На складе
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань:Среднее профессиональное образование,786,983,20,Ограничено
Python для программирования криптовалют,Сонг Джимми,Диалектика,3458,4322,20,На складе
Прикладное машинное обучение без учителя с использованием Python,Пател Анкур,Диалектика,2765,3456,20,На складе
Алгоритмы оптимизации,"Кохендерфер Майкл, Уилер Тим",Вильямс,4149,5186,20,На складе
"Мифический человеко-месяц, или Как создаются программные системы",Брукс Фредерик,Питер:Библиотека программиста,1388,1735,20,На складе
"Разработка приложений на С++ с использованием Boost. Рецепты, упрощающие разработку вашего приложени",Полухин Антон,ДМК-Пресс,1632,2040,20,На складе
