Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе 
Разработка программных модулей программного обеспечения для компьютерных систем. Прикладное програм.,Белугина Светлана Викторовна,Лань:Учебники для вузов. Специальная литература,2062,2578,20,Ограничено
Основы программирования информационного контента. Учебное пособие,"Быкадорова Елена Анатольевна, Синявская Оксана Николаевна",Лань:Учебники для вузов. Специальная литература,679,849,20,На складе
Численные методы. Учебник,Слабнов Виктор Дмитриевич,Лань:Учебники для вузов. Специальная литература,2862,3577,20,На складе
Введение в глубокое обучение,Черняк Евгений,Вильямс,1107,1384,20,На складе
Язык C. Самое необходимое,Прохоренок Николай Анатольевич,BHV:Самое необходимое,790,988,20,На складе
Машинное обучение без лишних слов,Бурков Андрей,Питер:Библиотека программиста,1130,1412,20,На складе
Легкий способ выучить Python 3 еще глубже,Шоу Зед А.,Эксмо-Пресс:Мировой компьютерный бестселлер (обложка),722,925,22,На складе
Практикум по численным методам в вычислительных средах matlab и mathcad. Учебное пособие,"Бастрон Алевтина Алексеевна, Охапкина Елена Павловна",РГГУ,570,712,20,На складе
Программирование на языке Пролог для задач искусственного интеллекта. Введение в логическое программ,Ефимова Елена Анатольевна,РГГУ,888,1110,20,На складе
Информационные системы и программирование. Специалист по информационным системам. Выпускная квалифик,Логачев Максим Сергеевич,ИНФРА-М:Среднее профессиональное образование,4065,5081,20,На складе
Совершенный алгоритм. Жадные алгоритмы и динамическое программирование,Рафгарден Тим,Питер:Библиотека программиста,1226,1533,20,На складе
Паттерны Kubernetes. Шаблоны разработки собственных облачных приложений,"Ибрам Билджин, Хасс Роланд",Питер:Бестселлеры O`Reilly,1392,1740,20,На складе
SCALA для нетерпеливых,Хостманн Кей,ДМК-Пресс:Функциональное программирование,1223,1529,20,На складе
Обучение с подкреплением,"Саттон Ричард С., Барто Эндрю Г.",ДМК-Пресс,3101,3876,20,На складе
Рекомендательные системы на практике,Фальк Ким,ДМК-Пресс,1632,2040,20,На складе
Flutter на практике. Прокачиваем навыки мобильной разработки с помощью открыт. фреймворка от Googlе,Заметти Франк,ДМК-Пресс,1468,1835,20,На складе
Машинное обучение для алгоритмической торговли на финансовых рынках. Практикум,Янсен Стефан,BHV,1452,1815,20,На складе
Java Concurrency на практике,Гетц Брайан и др.,Питер:Для профессионалов,1379,1724,20,На складе
"Kubernetes для DevOps: развертывание, запуск и масштабирование в облаке","Арундел Джон, Домингус Джастин",Питер:Бестселлеры O`Reilly,2254,2818,20,На складе
C# 8.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1107,1384,20,На складе
Потоковая обработка данных. Конвейер реального времени,Пселтис Эндрю Дж.,ДМК-Пресс,1142,1427,20,На складе
Java для чайников,Берд Барри,"Диалектика:Для ""чайников""",1660,2075,20,На складе
Психбольница в руках пациентов. Алан Купер об интерфейсах,Купер Алан,Питер:Библиотека программиста,1240,1550,20,На складе
OpenCV и Java. Обработка изображений и компьютерное зрение,Прохоренок Николай Анатольевич,BHV:Профессиональное программирование,651,814,20,На складе
"Высоконагруженные приложения. Программирование, масштабирование, поддержка",Клеппман Мартин,Питер:Бестселлеры O`Reilly,2404,3005,20,На складе
Глубокое обучение с точки зрения практика,"Паттерсон Джош, Гибсон Адам",ДМК-Пресс,2121,2651,20,На складе
Думай как программист. Креативный подход к созданию кода. C++ версия,Спрол Антон,Бомбора:Мировой компьютерный бестселлер,666,854,22,На складе
Релевантный поиск с использованием Elasticsearch и Solr,"Тарнбулл Даг, Берримен Джон",ДМК-Пресс,1468,1835,20,На складе
Программирование на языке Rust. Цветное издание,"Блэнди Джим, Орендорф Джейсон",ДМК-Пресс,2447,3059,20,На складе
Angular 4. Быстрая разработка сверхдинамичных Web-сайтов на TypeScript и PHP,Дронов Владимир Александрович,BHV:Профессиональное программирование,778,972,20,На складе
Алгоритмы для начинающих. Теория и практика для разработчика,Луридас Панос,Бомбора:Мировой компьютерный бестселлер,985,1263,22,На складе
Реактивные шаблоны проектирования,Кун Роланд и др.,Питер:Библиотека программиста,1173,1466,20,На складе
Язык С в XXI веке,Клеменс Бен,ДМК-Пресс,1223,1529,20,На складе
Android. Сборник рецептов. Задачи и решения для разработчиков приложений,Дарвин Ян Ф.,Диалектика,3458,4322,20,На складе
Официальное руководство Cisco по подготовке к сертификационным экзаменам CCENT/CCNA ICND1 100-105,Одом Уэнделл,Вильямс,5335,6669,20,На складе
"Язык R в задачах науки о данных. Импорт, подготовка, обработка, визуализация и моделирование данных","Уикем Хэдли, Гроулмунд Гарретт",Вильямс,3458,4322,20,На складе
Теория и практика делового общения для разработчиков программного обеспечения и IT-менеджеров,Абельская Раиса Шолемовна,Флинта,253,316,20,На складе
Основы Data Science и Big Data. Python и наука о данных,Силен Дэви и др.,Питер:Библиотека программиста,1355,1694,20,На складе
Интерфейс JNI. Руководство по программированию и спецификация,Шенг Лиэнг,ДМК-Пресс,902,1127,20,Ограничено
Анализ социальных медиа на Python,Бонцанини Марко,ДМК-Пресс,1305,1631,20,На складе
Глубокое обучение (цветная),Бенджио Иошуа и др.,ДМК-Пресс,3101,3876,20,На складе
"Прямые и обратные задачи восстановления изображений, спектроскопии и томографии с MatLab (+CD)",Сизиков Валерий Сергеевич,Лань:Учебники для вузов. Специальная литература,2912,3640,20,На складе
Наиболее эффективное программирование на C#. 50 способов улучшения кода,Вагнер Билл,Вильямс,1660,2075,20,Ограничено
Функциональное программирование на JavaScript. Как улучшить код JavaScript-программ,Атенсио Луис,Вильямс,2765,3456,20,На складе
Разработка операционной системы и компилятора. Проект Оберон,"Вирт Никлаус, Гуткнехт Юрг",ДМК-Пресс:Классика программирования,1305,1631,20,На складе
CodeVisionAVR. Пособие для начинающих,Лебедев Михаил Борисович,ДМК-Пресс:Программируемые системы,1142,1427,20,На складе
"Как написать безопасный код на С++, Java, Perl, PHP, ASP.NET",Ховард Майкл и др.,ДМК-Пресс,819,1024,20,На складе
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер:Библиотека программиста,2326,2908,20,На складе
Искусство алгоритмизации,Потопахин Виталий Валерьевич,ДМК-Пресс,902,1127,20,На складе
Java 9. Полный обзор нововведений,Кишори Шаран,ДМК-Пресс:Программирование,1632,2040,20,На складе
Kotlin в действии,"Жемеров Дмитрий Борисович, Исакова Светлана Сергеевна",ДМК-Пресс,1468,1835,20,На складе
Конкурентное программирование на Scala,Прокопец Александр,ДМК-Пресс,1386,1733,20,На складе
Крупномасштабное машинное обучение вместе с Python,Шарден Бастиан и др.,ДМК-Пресс,1305,1631,20,На складе
Программирование на Clojure,Эмерик Чаз и др.,ДМК-Пресс:Функциональное программирование,1958,2447,20,На складе
C# 7.0. Карманный справочник. Скорая помощь для программистов на C# 7.0,"Албахари Джозеф, Албахари Бен",Вильямс,1107,1384,20,На складе
Адаптивный код. Гибкое кодирование с помощью паттернов проектирования и принципов SOLID,Холл Гэри Маклин,Вильямс,2765,3456,20,Ограничено
Секреты JavaScript ниндзя,Резиг Джон и др.,Вильямс,3458,4322,20,На складе
Курс программирования на языке Си. Учебник,"Подбельский Вадим Валерьевич, Фомин Сергей Сергеевич",ДМК-Пресс,978,1223,20,На складе
СУБД для программиста. Базы данных изнутри,Тарасов Сергей Витальевич,Солон-пресс:Библиотека профессионала,903,1129,20,На складе
Объектно-ориентированное программирование в С++,Лафоре Роберт,Питер:Классика computer science,1672,2090,20,На складе
Язык программирования C++. Базовый курс,Липпман Стенли Б. и др.,Вильямс,4149,5186,20,Ограничено
Машинное обучение с использованием библиотеки Н2О,Кук Даррен,ДМК-Пресс,1305,1631,20,На складе
Программирование. Принципы и практика с использованием C++,Страуструп Бьярне,Вильямс,4840,6050,20,На складе
Создаем нейронную сеть,Рашид Тарик,Вильямс,2074,2592,20,На складе
Библиотека Keras - инструмент глубокого обучения,"Джулли Антонио, Пал Суджит",ДМК-Пресс,1468,1835,20,На складе
Визуализация данных с помощью библиотеки D3.js 4.x,"Рининсланд Эндрю, Свизек Теллер",ДМК-Пресс,1142,1427,20,На складе
Шаблоны корпоративных приложений,Фаулер Мартин,Диалектика: ,4149,5186,20,На складе
Raspberry Pi. Сборник рецептов. Решение программных и аппаратных задач,Монк Саймон,Диалектика,2074,2592,20,На складе
JavaScript в примерах и задачах,,Эксмо-Пресс:Российский компьютерный бестселлер,861,1104,22,На складе
Visual C# 2.0.NET. Полное руководство,"Прайс Дебора, Гандэрлой Майк",Корона-Принт: ,740,925,20,На складе
Предметно-ориентированное проектирование (DDD). Структуризация сложных программных систем,Эванс Эрик,Вильямс,5531,6914,20,На складе
Язык программирования C++. Лекции и упражнения,Прата Стивен,Диалектика,4149,5186,20,На складе
C++ для чайников,Дэвис Стефан Рэнди,"Диалектика:Для ""чайников""",1382,1728,20,На складе
Практикум по параллельному программированию,Борзунов Сергей Викторович и др.,BHV:Учебная литература для ВУЗов,589,736,20,На складе
"Программирование командных оболочек в Unix, Linux и OS X","Кочан Стефан, Вуд Патрик",Диалектика,2765,3456,20,На складе
Рефакторинг. Улучшение проекта существующего кода,Бек Кент и др.,Диалектика,2765,3456,20,На складе
Изучаем программирование на Python,Бэрри Пол,Эксмо:Мировой компьютерный бестселлер,1314,1685,22,На складе
Семь баз данных за семь недель. Введение в современные базы данных и идеологию NoSQL,"Редмонд Эрик, Уилсон Джим Р.",ДМК-Пресс,1142,1427,20,На складе
Математическое программирование. Учебное пособие,Карманов Владимир Георгиевич,Физматлит,507,634,20,Ограничено
jQuery в действии,Бибо Беэр и др.,Питер:Для профессионалов,1149,1436,20,На складе
VHDL. Справочное пособие по основам языка,Бабак В. П. и др.,ДМК-Пресс:Программируемые системы,819,1024,20,На складе
Алгоритмы и программы. Язык С++. Учебное пособие,"Конова Елена Александровна, Поллак Галина Андреевна",Лань:Учебники для вузов. Специальная литература,1972,2465,20,Ограничено
Программирование в среде Delphi. Создание проектов. Учебное пособие,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,355,444,20,Ограничено
Основы алгоритмизации и программирования на языке Microsoft Visual Basic. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Среднее профессиональное образование,4127,5159,20,На складе
MATLAB 6.5 SP1/7/7 SP1/7 SP2 + Simulink 5/6. Инструменты искусственного интеллекта и биоинформатики,"Дьяконов Владимир Павлович, Круглов Владимир Васильевич",Солон-пресс:Библиотека профессионала,1453,1816,20,На складе
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,,Солон-пресс:Библиотека студента,321,401,20,На складе
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,,Солон-пресс:Библиотека студента,449,561,20,На складе
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,,Солон-пресс:Библиотека студента,216,270,20,Ограничено
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,,Солон-пресс:Библиотека студента,449,561,20,На складе
Компьютерный анализ четырехполюсников с помощью MATLAB,,Солон-пресс:Библиотека студента,698,872,20,На складе
Компьютерный анализ четырехполюсников с помощью MATLAB,,Солон-пресс:Библиотека студента,283,354,20,На складе
Компьютерный спектральный анализ сигналов с помощью MATLAB,,Солон-пресс:Библиотека студента,668,835,20,На складе
Компьютерный спектральный анализ сигналов с помощью MATLAB,,Солон-пресс:Библиотека студента,266,332,20,На складе
Непрерывное развитие API. Правильные решения в изменчивом технологическом ландшафте,Меджуи Мехди и др.,Питер:Бестселлеры O`Reilly,2076,2595,20,На складе
Глубокое обучение в биологии и медицине,Рамсундар Бхарат и др.,ДМК-Пресс,1142,1427,20,На складе
"Современный язык Java. Лямбда-выражения, потоки и функциональное программирование",Урма Рауль-Габриэль и др.,Питер:Для профессионалов,1862,2327,20,На складе
Программирование на языке высокого уровня. Программирование на языке Object Pascal. Учебное пособие,Немцова Тамара Игоревна и др.,Форум:Высшее образование: Бакалавриат,3505,4381,20,На складе
Управление качеством программного обеспечения. Учебник,Черников Борис Васильевич,Форум:Среднее профессиональное образование,1701,2126,20,На складе
Математическое программирование. Учебное пособие,Ржевский Сергей Владимирович,Лань:Учебники для вузов. Специальная литература,2862,3577,20,На складе
Практика нейросетевого моделирования. Учебное пособие,"Хливненко Любовь Владимировна, Пятакович Феликс Андреевич",Лань:Учебники для вузов. Специальная литература,1877,2346,20,Ограничено
Python и анализ данных,Маккини Уэс,ДМК-Пресс,2121,2651,20,На складе
Алгоритмы эволюционной оптимизации,Саймон Дэн,ДМК-Пресс,3263,4079,20,На складе
"Прикладные задачи оптимизации. Модели, методы, алгоритмы",Струченков Валерий Иванович,Солон-пресс:Библиотека профессионала,742,928,20,На складе
Машинный интеллект. Очерки по теории машинного обучения и искусственного интеллекта,Шумский Сергей Александрович,РИОР:Наука и практика,2696,3370,20,На складе
C#. Программирование 2D и 3D векторной графики (+CD),"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Учебники для вузов. Специальная литература,2210,2762,20,На складе
Клиентские технологии веб-дизайна. HTML5 и CSS3. Учебное пособие,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,1511,1889,20,На складе
Технология разработки программного обеспечения. Учебное пособие,Зубкова Татьяна Михайловна,Лань:Учебники для вузов. Специальная литература,2386,2982,20,На складе
C++ за 21 день,Рао Сиддхартха,Диалектика,2074,2592,20,Ограничено
Рефакторинг с использованием шаблонов,Кериевски Джошуа,Диалектика,3049,3811,20,Ограничено
Docker на практике,"Миллан Иан, Сейерс Эйдан Хобсон",ДМК-Пресс,2284,2855,20,На складе
Swift подробно,Чейрд Инт Вейн,ДМК-Пресс,2284,2855,20,На складе
Линейная алгебра и линейное программирование для экономистов. Учебник,Швед Евгений Вадимович и др.,Кнорус:Бакалавриат,1097,1371,20,На складе
Java. Справочник разработчика,"Эванс Бенджамин, Флэнаган Дэвид",Вильямс,2765,3456,20,На складе
Оптимизация программ на C++. Проверенные методы повышения производительности,Гантерот Курт,Диалектика,2074,2592,20,На складе
Компьютерное моделирование полупроводниковых систем в MatLab 6.0. Учебное пособие,Герман-Галкин Сергей Германович,Корона-Принт:Учебное пособие,413,516,20,На складе
Самоучитель Ruby,Симдянов Игорь Вячеславович,BHV:Самоучитель,1150,1437,20,На складе
Блокчейн. Руководство для начинающих разработчиков,Сингхал Бикрамадитья и др.,BHV,676,845,20,На складе
PHP глазами хакера,Фленов Михаил Евгеньевич,BHV:Глазами Хакера,556,695,20,На складе
Идиомы и паттерны проектирования в современном С++,Пикус Федор Г.,ДМК-Пресс,1881,2351,20,На складе
Основы тестирования и верификации программного обеспечения,Старолетов Сергей Михайлович,Лань:Учебники для вузов. Специальная литература,2900,3625,20,На складе
Изучаем Python. Том 1,Лутц Марк,Диалектика,3458,4322,20,На складе
"Data mining. Извлечение информации из Facebook, Twitter, LinkedIn, Instagram, GitHub","Рассел Мэтью, Классен Михаил",Питер:Бестселлеры O`Reilly,1431,1789,20,На складе
"Путь Python. Черный пояс по разработке, масштабированию, тестированию и развертыванию",Данжу Джульен,Питер:Библиотека программиста,1052,1315,20,На складе
Безопасный DevOps. Эффективная эксплуатация систем,Вехен Джульен,Питер:Для профессионалов,1520,1900,20,На складе
Язык программирования Python: практикум. Учебное пособие,Жуков Роман Александрович,ИНФРА-М:Среднее профессиональное образование,1535,1919,20,На складе
Машинное обучение и безопасность. Защита систем с помощью данных и алгоритмов,"Чио Кларенс, Фримэн Дэвид",ДМК-Пресс,1550,1937,20,На складе
Разработка интеллектуальных систем. Введение в технологию машинного обучения,Хултен Джефф,ДМК-Пресс,1468,1835,20,На складе
Язык программирования С++. Специальное издание,Страуструп Бьерн,Бином,1574,1968,20,На складе
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань:Учебники для вузов. Специальная литература,1549,1936,20,Ограничено
"PHP: объекты, шаблоны и методики программирования",Зандстра Мэтт,Вильямс,2765,3456,20,На складе
Экстремальное программирование. Разработка через тестирование,Бек Кент,Питер:Библиотека программиста,979,1224,20,На складе
Объектно-ориентированное программирование с примерами на C#. Учебное пособие,Хорев Павел Борисович,Форум:Среднее профессиональное образование,1846,2307,20,На складе
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,,Солон-пресс:Библиотека студента,321,401,20,На складе
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,,Солон-пресс:Библиотека студента,608,760,20,На складе
Программирование. Сборник задач. Учебное пособие,Архипов Олег Григорьевич и др.,Лань:Учебники для вузов. Специальная литература,1431,1789,20,Ограничено
Python. Книга Рецептов,"Бизли Дэвид, Джонс Брайан К.",ДМК-Пресс,2610,3263,20,На складе
Глубокое обучение с подкреплением на Python. OpenAI Gym и TensorFlow для профи,Равичандиран Судхарсан,Питер:Библиотека программиста,1203,1504,20,На складе
Основы Java,Прохоренок Николай Анатольевич,BHV,1210,1512,20,На складе
Машинное обучение с использованием Python. Сборник рецептов,Элбон Крис,BHV,815,1019,20,На складе
Грокаем глубокое обучение,Траск Эндрю,Питер:Библиотека программиста,974,1218,20,На складе
Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих,Бхаргава Адитья,Питер:Библиотека программиста,841,1051,20,На складе
Шаблоны C++. Справочник разработчика,Вандевурд Дэвид и др.,Диалектика,3458,4322,20,На складе
Java Persistence API и Hibernate,Бауэр Кристиан и др.,ДМК-Пресс,1632,2040,20,На складе
Байесовские модели. Байесовская статистика на языке Python,Дауни Аллен Б.,ДМК-Пресс,1060,1325,20,На складе
CLR via C#. Программирование на платформе Microsoft .NET Framework 4.5 на языке C#. 4-е издание,Рихтер Джеффри,Питер:Мастер-класс,1825,2281,20,На складе
Ядро ORACLE. Внутреннее устройство для администраторо и разработчиков баз данных,Льюис Джонатан,ДМК-Пресс,1305,1631,20,На складе
Идеальный программист. Как стать профессионалом разработки ПО,Мартин Роберт С.,Питер,677,846,20,На складе
Apache Kafka. Потоковая обработка и анализ данных,Нархид Ния и др.,Питер:Бестселлеры O`Reilly,1410,1763,20,На складе
Site Reliability Engineering. Надежность и безотказность как в Google,Бейер Бетси и др.,Питер:Бестселлеры O`Reilly,1672,2090,20,На складе
Akka в действии,Рестенбург Раймонд и др.,ДМК-Пресс,1632,2040,20,На складе
Искусство создания сценариев в Unity,Торн Алан,ДМК-Пресс,1305,1631,20,На складе
Основы работы с технологией CUDA,"Боресков Алексей Викторович, Харламов Александр Александрович",ДМК-Пресс,662,827,20,На складе
WebGL. Программирование трехмерной графики,"Мацуда Коичи, Ли Роджер",ДМК-Пресс,1305,1631,20,На складе
Безопасность разработка в Agile-проектах,Белл Лаура и др.,ДМК-Пресс,1468,1835,20,На складе
Чистый Python. Тонкости программирования для профи,Бейдер Дэн,Питер:Библиотека программиста,1198,1498,20,На складе
Теория измеримых множеств и мультимножеств,Петровский Алексей Борисович,Наука,919,1149,20,Ограничено
Совершенный код. Мастер-класс,Макконнелл Стив,Русская редакция,1573,1966,20,На складе
Разработка чат-ботов и разговорных интерфейсов,Джанарсанам Срини,ДМК-Пресс,1305,1631,20,На складе
Введение в распределенное моделирование в среде NetLogo,Ершов Николай Михайлович,ДМК-Пресс,1468,1835,20,На складе
"Искусственный интеллект .NET. Речь, язык и поиск","Патак Нишит, Бхандари Анураг",ДМК-Пресс,1305,1631,20,На складе
Элегантный SciPy,Нуньес-Иглесиас Хуан и др.,ДМК-Пресс,1550,1937,20,На складе
Изучаем Java EE. Современное программирование для больших предприятий,Дашнер Себастьян,Питер:Для профессионалов,1138,1423,20,Ограничено
Стандартная библиотека Python 3. Справочник с примерами,Хеллман Даг,Диалектика,4840,6050,20,Ограничено
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,1305,1631,20,На складе
Язык декларативного программирования XAML,Подбельский Вадим Валерьевич,ДМК-Пресс,1223,1529,20,На складе
Математика на Python. Часть 1. Элементы линейной алгебры,Александрова Ирина Александровна и др.,Прометей,430,537,20,На складе
Облачные технологии поддержки решения задач анализа безубыточности. Монография,Смирнов Денис Евгеньевич,Прометей,477,596,20,На складе
Разработка игр и теория развлечений,Костер Рэф,ДМК-Пресс,1305,1631,20,На складе
Прикладное программирование на С/С++: с нуля,Иванов Всеволод Борисович,Солон-пресс:Программирование,827,1034,20,На складе
Программист-фанатик,Фаулер Чед,Питер:Библиотека программиста,703,879,20,На складе
C# 7 и .NET Core. Кросс-платформенная разработка для профессионалов,Прайс Марк Дж.,Питер:Библиотека программиста,1793,2241,20,На складе
Компьютерные вирусы и антивирусы: взгляд программиста,Климентьев Константин Евгеньевич,ДМК-Пресс:Профессиональное программирование,1305,1631,20,На складе
Практическая статистика для специалистов Data Science. 50 важнейших понятий,"Брюс Питер, Брюс Эндрю",BHV,722,902,20,На складе
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань:Учебники для вузов. Специальная литература,739,924,20,На складе
Программирование на C# для начинающих. Основные сведения,Васильев Алексей Николаевич,Бомбора:Российский компьютерный бестселлер,944,1210,22,На складе
Алгоритмы для чайников,"Массарон Лука, Мюллер Джон Пол","Диалектика:Для ""чайников""",1660,2075,20,На складе
Объектно-ориентированное проектирование: концепции и программный код,Гаст Хольгер,Вильямс,4149,5186,20,На складе
Хакинг. Искусство эксплойта,Эриксон Джон,Питер,1603,2004,20,На складе
Глубокое обучение на Python,Шолле Франсуа,Питер:Библиотека программиста,1087,1359,20,На складе
C# 7.0. Справочник. Полное описание языка,"Албахари Джозеф, Албахари Бен",Диалектика,3458,4322,20,На складе
LabVIEW в научных исследованиях,Евдокимов Юрий Кириллович и др.,ДМК-Пресс:Все о LabVIEW,1223,1529,20,На складе
Python. Разработка на основе тестирования,Персиваль Гарри,ДМК-Пресс,2447,3059,20,На складе
"Чистый код. Создание, анализ и рефакторинг",Мартин Роберт С.,Питер,737,921,20,На складе
Разработка одностраничных веб-приложений,"Миковски Майкл С., Пауэлл Джош К.",ДМК-Пресс,1305,1631,20,На складе
Qt 5.10. Профессиональное программирование на C++,Шлее Макс,BHV:В подлиннике,1573,1966,20,На складе
Теоретический минимум по Computer Science. Все что нужно программисту и разработчику,Феррейра Фило Владстон,Питер:Библиотека программиста,699,874,20,На складе
Программирование искусственного интеллекта в приложениях,Джонс М. Тим,ДМК-Пресс:Для программистов,819,1024,20,На складе
Программирование на Ардуино. От простого к сложному,Мамичев Дмитрий Иванович,Солон-пресс:Радиоэлектроника,614,768,20,На складе
Запускаем Ansible,"Хохштейн Лорин, Мозер Рене",ДМК-Пресс,1632,2040,20,На складе
Современный Java. Рецепты программирования,Коузен Кен,ДМК-Пресс,1305,1631,20,Ограничено
Сам себе программист. Как научиться программировать и устроиться в Ebay?,Альтхофф Кори,Бомбора:Мировой компьютерный бестселлер,627,804,22,На складе
"Программное обеспечение геодезии, фотограм, кадастра, инж.из.",Браверман Борис Аронович,Инфра-Инженерия,1060,1325,20,На складе
Собираем устройства для тестов на проникновение,Бирюков Андрей Александрович,ДМК-Пресс,1223,1529,20,На складе
Самоучитель PHP 7,"Кузнецов Максим Валерьевич, Симдянов Игорь Вячеславович",BHV:Самоучитель,580,725,20,На складе
Блокчейн. Разработка приложений,Прасти Нараян,BHV,526,658,20,На складе
Java. Карманный справочник,"Лигуори Роберт, Лигуори Патрисия",Вильямс,1107,1384,20,На складе
Чистая архитектура. Искусство разработки программного обеспечения,Мартин Роберт С.,Питер:Библиотека программиста,910,1137,20,На складе
Объектно Ориентированное Программирование,Гаско Рик,Солон-пресс:Программирование,715,894,20,На складе
Простая Математика для Простых Программистов,Гаско Рик,Солон-пресс:Программирование,715,894,20,На складе
Простой учебник программирования,Гаско Рик,Солон-пресс:Программирование,806,1007,20,На складе
GraphQL. Язык запросов для современных веб-приложений,"Бэнкс Алекс, Порселло Ева",Питер,924,1155,20,На складе
Искусство программирования. Том 2. Получисленные алгоритмы,Кнут Дональд Эрвин,Диалектика,4149,5186,20,На складе
Искусственный интеллект для чайников,"Мюллер Джон Пол, Массарон Лука","Диалектика:Для ""чайников""",1382,1728,20,На складе
Современные технологии программирования. Разработка Windows-приложений на языке С#. Учебник. Том 2,Горелов Сергей Витальевич,Прометей,1348,1685,20,На складе
Компьютерное зрение. Теория и алгоритмы,Клетте Рейнхард,ДМК-Пресс,2774,3467,20,На складе
Java. Оптимизация программ. Практические методы повышения производительности приложений в JVM,Эванс Бенджамин и др.,Диалектика,2074,2592,20,На складе
Vue.js в действии,"Хэнчетт Эрик, Листоун Бенджамин",Питер:Библиотека программиста,1390,1737,20,На складе
Искусство программирования на R. Погружение в большие данные,Мэтлофф Норман,Питер:Библиотека программиста,1215,1519,20,На складе
Базовые средства программирования на Visual Basic в среде VisualStudio Net. Практикум. Учебное пособ,Шакин Виктор Николаевич,Форум:Среднее профессиональное образование,2261,2826,20,Ограничено
Алгоритмизация и программирование. Практикум. Учебное пособие,Андрианова Анастасия Александровна и др.,Лань:Учебники для вузов. Специальная литература,1734,2167,20,Ограничено
Структуры и алгоритмы обработки данных. Линейные структуры. Учебное пособие,Апанасевич Сергей Александрович,Лань:Учебники для вузов. Специальная литература,1353,1691,20,На складе
Самоучитель игры на Паскале. ABC и немного Турбо,Комлев Николай Юрьевич,Солон-пресс:Библиотека студента,559,860,35,На складе
Алгоритмические трюки для программистов,Уоррен Генри С.,Диалектика,2074,2592,20,На складе
Unity и C#. Геймдев от идеи до реализации,Бонд Джереми Гибсон,Питер:Для профессионалов,2618,3273,20,На складе
PostgreSQL 11. Мастерство разработки,Шениг Ганс-Юрген,ДМК-Пресс,1632,2040,20,На складе
Распределенные системы. Паттерны проектирования,Бернс Брендан,Питер:Бестселлеры O`Reilly,1004,1255,20,На складе
Django 2.1. Практика создания веб-сайтов на Python,Дронов Владимир Александрович,BHV:Профессиональное программирование,1155,1444,20,На складе
