Menzil;Elanin Tarixi;Giymet;Link
3-otaqlı mənzil icarəyə verilir, İnşaatçılar m\st., 70 m²;Bakı,11 Sentyabr ;500 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-insaatcilar-mst-70-m2-99634/
3-otaqlı mənzil , Həsən Bəy Zərdabi küç., 68 m²;Bakı,11 Sentyabr ;100 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-hesen-bey-zerdabi-kuec-68-m2-99633/
3-otaqlı mənzil , Şamil Əzizbəyov küç., 150 m²;Bakı,11 Sentyabr ;275 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-samil-ezizbeyov-kuec-150-m2-99625/
2-otaqlı mənzil , Həsən Bəy Zərdabi küç., 68 m²;Bakı,11 Sentyabr ;95 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-hesen-bey-zerdabi-kuec-68-m2-99622/
2-otaqlı mənzil , Azərbaycan pr., 50 m²;Bakı,11 Sentyabr ;226 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-azerbaycan-pr-50-m2-99621/
2-otaqlı mənzil icarəyə verilir, Babək pr., 100 m²;Bakı,11 Sentyabr ;850 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-babek-pr-100-m2-99608/
4-otaqlı mənzil icarəyə verilir, Tbilisi pr., 255 m²;Bakı,11 Sentyabr ;1 600 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-icareye-verilir-tbilisi-pr-255-m2-99603/
4-otaqlı mənzil , Ak.Həsən Əliyev küç., 290.5 m²;Bakı,11 Sentyabr ;270 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-akhesen-eliyev-kuec-2905-m2-99586/
3-otaqlı mənzil icarəyə verilir, Sabit Orucov küç., 120 m²;Bakı,11 Sentyabr ;800 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-sabit-orucov-kuec-120-m2-99571/
3-otaqlı mənzil , Q.Qarayev m/st., 70 m²;Bakı,11 Sentyabr ;105 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-qqarayev-mst-70-m2-99554/
